wvfFind_event73926_trackID4_opNum5.root                       Event= 73926, Track=   4, Score=0.428
wvfFind_event68742_trackID14_opNum7.root                      Event= 68742, Track=  14, Score=0.886
wvfFind_event45712_trackID10_opNum8.root                      Event= 45712, Track=  10, Score=0.674
wvfFind_event48532_trackID6_opNum8_merged.root                Event= 48532, Track=   6, Score=0.548
wvfFind_event21417_trackID9_opNum6_2.root                     Event= 21417, Track=   9, Score=0.833
wvfFind_event41350_trackID2_opNum8.root                       Event= 41350, Track=   2, Score=0.701
wvfFind_event77320_trackID14_opNum6.root                      Event= 77320, Track=  14, Score=0.652
wvfFind_event23526_trackID11_opNum8.root                      Event= 23526, Track=  11, Score=0.433
wvfFind_event5788_trackID9_opNum5.root                        Event=  5788, Track=   9, Score=0.877
wvfFind_event34943_trackID17_opNum6.root                      Event= 34943, Track=  17, Score=0.817
wvfFind_event3343_trackID2_opNum9.root                        Event=  3343, Track=   2, Score=0.878
wvfFind_event54534_trackID16_opNum4_merged.root               Event= 54534, Track=  16, Score=0.522
wvfFind_event76273_trackID13_opNum8_merged.root               Event= 76273, Track=  13, Score=0.986
wvfFind_event89887_trackID8_opNum5.root                       Event= 89887, Track=   8, Score=0.895
wvfFind_event53032_trackID3_opNum7_merged.root                Event= 53032, Track=   3, Score=0.641
wvfFind_event61986_trackID9_opNum5.root                       Event= 61986, Track=   9, Score=0.709
wvfFind_event46067_trackID4_opNum9.root                       Event= 46067, Track=   4, Score=0.575
wvfFind_event32619_trackID19_opNum8_2.root                    Event= 32619, Track=  19, Score=0.469
wvfFind_event50802_trackID7_opNum4_merged.root                Event= 50802, Track=   7, Score=0.706
wvfFind_event59795_trackID1_opNum5.root                       Event= 59795, Track=   1, Score=0.677
wvfFind_event33779_trackID10_opNum5.root                      Event= 33779, Track=  10, Score=0.501
wvfFind_event16814_trackID26_opNum9.root                      Event= 16814, Track=  26, Score=0.457
wvfFind_event20068_trackID3_opNum7.root                       Event= 20068, Track=   3, Score=0.801
wvfFind_event53358_trackID25_opNum8_merged.root               Event= 53358, Track=  25, Score=0.922
wvfFind_event31508_trackID11_opNum8.root                      Event= 31508, Track=  11, Score=0.833
wvfFind_event15228_trackID20_opNum5.root                      Event= 15228, Track=  20, Score=0.999
wvfFind_event51439_trackID0_opNum5.root                       Event= 51439, Track=   0, Score=0.563
wvfFind_event36264_trackID0_opNum9_2.root                     Event= 36264, Track=   0, Score=0.417
wvfFind_event57317_trackID4_opNum6_2.root                     Event= 57317, Track=   4, Score=0.711
wvfFind_event41913_trackID17_opNum6.root                      Event= 41913, Track=  17, Score=0.928
wvfFind_event19120_trackID13_opNum7.root                      Event= 19120, Track=  13, Score=0.995
wvfFind_event47340_trackID18_opNum5.root                      Event= 47340, Track=  18, Score=0.802
wvfFind_event48359_trackID35_opNum8.root                      Event= 48359, Track=  35, Score=0.473
wvfFind_event6723_trackID3_opNum5_merged.root                 Event=  6723, Track=   3, Score=0.712
wvfFind_event83724_trackID13_opNum5_merged.root               Event= 83724, Track=  13, Score=0.644
wvfFind_event75263_trackID21_opNum6.root                      Event= 75263, Track=  21, Score=0.999
wvfFind_event31539_trackID8_opNum5.root                       Event= 31539, Track=   8, Score=0.628
wvfFind_event77011_trackID4_opNum5.root                       Event= 77011, Track=   4, Score=0.544
wvfFind_event89529_trackID18_opNum7_2.root                    Event= 89529, Track=  18, Score=0.569
wvfFind_event19491_trackID15_opNum6.root                      Event= 19491, Track=  15, Score=0.430
wvfFind_event68044_trackID0_opNum8.root                       Event= 68044, Track=   0, Score=0.708
wvfFind_event78302_trackID2_opNum9.root                       Event= 78302, Track=   2, Score=0.499
wvfFind_event64899_trackID3_opNum5.root                       Event= 64899, Track=   3, Score=0.544
wvfFind_event93304_trackID5_opNum6.root                       Event= 93304, Track=   5, Score=0.902
wvfFind_event39478_trackID15_opNum9.root                      Event= 39478, Track=  15, Score=0.958
wvfFind_event13839_trackID14_opNum4_merged.root               Event= 13839, Track=  14, Score=0.791
wvfFind_event85571_trackID2_opNum5.root                       Event= 85571, Track=   2, Score=0.832
wvfFind_event10318_trackID2_opNum9.root                       Event= 10318, Track=   2, Score=0.873
wvfFind_event25256_trackID1_opNum8.root                       Event= 25256, Track=   1, Score=0.783
wvfFind_event10833_trackID12_opNum8.root                      Event= 10833, Track=  12, Score=0.786
wvfFind_event4735_trackID8_opNum9.root                        Event=  4735, Track=   8, Score=0.482
wvfFind_event79247_trackID0_opNum6_merged.root                Event= 79247, Track=   0, Score=0.936
wvfFind_event70589_trackID1_opNum5.root                       Event= 70589, Track=   1, Score=0.649
wvfFind_event86775_trackID4_opNum8.root                       Event= 86775, Track=   4, Score=0.887
wvfFind_event20337_trackID6_opNum5_merged.root                Event= 20337, Track=   6, Score=0.774
wvfFind_event53568_trackID0_opNum8.root                       Event= 53568, Track=   0, Score=0.771
wvfFind_event80639_trackID4_opNum5.root                       Event= 80639, Track=   4, Score=0.995
wvfFind_event35663_trackID26_opNum6_merged.root               Event= 35663, Track=  26, Score=0.860
wvfFind_event5864_trackID23_opNum7.root                       Event=  5864, Track=  23, Score=0.994
wvfFind_event13590_trackID6_opNum8.root                       Event= 13590, Track=   6, Score=0.606
wvfFind_event53690_trackID6_opNum9.root                       Event= 53690, Track=   6, Score=0.531
wvfFind_event14809_trackID0_opNum5_merged.root                Event= 14809, Track=   0, Score=0.880
wvfFind_event89350_trackID1_opNum9.root                       Event= 89350, Track=   1, Score=0.629
wvfFind_event81623_trackID11_opNum5.root                      Event= 81623, Track=  11, Score=0.666
wvfFind_event14349_trackID9_opNum7_merged.root                Event= 14349, Track=   9, Score=0.617
wvfFind_event34561_trackID11_opNum9_3.root                    Event= 34561, Track=  11, Score=0.483
wvfFind_event46425_trackID4_opNum7_merged.root                Event= 46425, Track=   4, Score=0.620
wvfFind_event67472_trackID6_opNum5.root                       Event= 67472, Track=   6, Score=0.980
wvfFind_event81157_trackID23_opNum9.root                      Event= 81157, Track=  23, Score=0.561
