PdsEventNew(muon_time=125, michel_time=192, muon_intensity=4.89134, michel_intensity=2.11457, third_intensity=0.635399, posX=59.9291, posY=424.091, posZ=354.071, energy=44.1606, lifetime=1.16919, pdg=-11, eventID=13825, trackID=15, date=20250828, reco_lifetime=1072, true_lifetime=1169.19, diff_lifetime=-97.19000000000005, michel_rise=0.0845828, michel_drop=0.132534375)
Event 33: PdsEventNew(muon_time=127, michel_time=211, muon_intensity=9.3953, michel_intensity=2.2602, third_intensity=0.554249, posX=40.1336, posY=393.195, posZ=190.366, energy=41.7485, lifetime=1.37267, pdg=-11, eventID=11671, trackID=16, date=20250828, reco_lifetime=1344, true_lifetime=1372.67, diff_lifetime=-28.670000000000073, michel_rise=0.1412625, michel_drop=0.058422857142857144)
Event 34: PdsEventNew(muon_time=126, michel_time=326, muon_intensity=12.0179, michel_intensity=2.17748, third_intensity=0.771486, posX=57.8477, posY=251.924, posZ=123.667, energy=30.5787, lifetime=3.20574, pdg=-11, eventID=1181, trackID=12, date=20250828, reco_lifetime=3200, true_lifetime=3205.7400000000002, diff_lifetime=-5.7400000000002365, michel_rise=0.12616444444444444, michel_drop=0.12808705882352941)
Event 35: PdsEventNew(muon_time=128, michel_time=172, muon_intensity=24.1032, michel_intensity=3.53296, third_intensity=1.31331, posX=133.967, posY=250.398, posZ=290.126, energy=39.1844, lifetime=0.73913, pdg=-11, eventID=11845, trackID=6, date=20250828, reco_lifetime=704, true_lifetime=739.13, diff_lifetime=-35.129999999999995, michel_rise=0.13085037037037037, michel_drop=0.18249125)
Event 36: PdsEventNew(muon_time=127, michel_time=224, muon_intensity=20.7921, michel_intensity=4.69311, third_intensity=1.46039, posX=161.528, posY=365.926, posZ=411.354, energy=33.6256, lifetime=1.59797, pdg=-11, eventID=11854, trackID=11, date=20250828, reco_lifetime=1552, true_lifetime=1597.9699999999998, diff_lifetime=-45.9699999999998, michel_rise=0.26072833333333334, michel_drop=0.28713099999999997)
Event 37: PdsEventNew(muon_time=125, michel_time=174, muon_intensity=7.2318, michel_intensity=1.58483, third_intensity=0.75964, posX=12.0419, posY=102.679, posZ=83.8535, energy=36.8656, lifetime=0.849322, pdg=-11, eventID=12183, trackID=21, date=20250828, reco_lifetime=784, true_lifetime=849.322, diff_lifetime=-65.322, michel_rise=0.11320214285714285, michel_drop=0.08813416666666667)
Event 38: PdsEventNew(muon_time=127, michel_time=299, muon_intensity=14.5493, michel_intensity=3.47212, third_intensity=0.904202, posX=115.694, posY=215.837, posZ=248.386, energy=41.6944, lifetime=2.78148, pdg=-11, eventID=12197, trackID=6, date=20250828, reco_lifetime=2752, true_lifetime=2781.48, diff_lifetime=-29.480000000000018, michel_rise=0.254988, michel_drop=0.17360599999999998)
Event 39: PdsEventNew(muon_time=128, michel_time=222, muon_intensity=21.3762, michel_intensity=6.33334, third_intensity=0.989661, posX=164.499, posY=58.2473, posZ=361.682, energy=50.6945, lifetime=1.53278, pdg=-11, eventID=12329, trackID=3, date=20250828, reco_lifetime=1504, true_lifetime=1532.78, diff_lifetime=-28.779999999999973, michel_rise=0.39583375, michel_drop=0.1644377272727273)
Event 40: PdsEventNew(muon_time=127, michel_time=237, muon_intensity=12.8401, michel_intensity=3.02128, third_intensity=0.588199, posX=-134.823, posY=380.278, posZ=325.864, energy=43.2548, lifetime=1.79903, pdg=-11, eventID=12331, trackID=10, date=20250828, reco_lifetime=1760, true_lifetime=1799.03, diff_lifetime=-39.02999999999997, michel_rise=0.14216434782608695, michel_drop=0.10418206896551724)
Event 41: PdsEventNew(muon_time=124, michel_time=217, muon_intensity=5.06829, michel_intensity=1.24814, third_intensity=0.565362, posX=14.5912, posY=512.89, posZ=131.907, energy=22.651, lifetime=1.533, pdg=-11, eventID=12344, trackID=18, date=20250828, reco_lifetime=1488, true_lifetime=1533.0, diff_lifetime=-45.0, michel_rise=0.062407000000000004, michel_drop=0.041730555555555555)
Event 42: PdsEventNew(muon_time=125, michel_time=230, muon_intensity=8.11609, michel_intensity=1.81803, third_intensity=0.876813, posX=53.6987, posY=141.694, posZ=211.622, energy=44.3673, lifetime=1.71069, pdg=-11, eventID=12364, trackID=2, date=20250828, reco_lifetime=1680, true_lifetime=1710.69, diff_lifetime=-30.690000000000055, michel_rise=0.1298592857142857, michel_drop=0.1487075)
