#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 62: PdsEventNew(muon_time=128, michel_time=207, muon_intensity=147.236, michel_intensity=1.65643, posX=269.645, posY=207.938, posZ=196.065, energy=29.7096, lifetime=0.0393696, pdg=11, eventID=13325, trackID=11, date=20250828, reco_lifetime=1264, true_lifetime=39.3696, diff_lifetime=1224.6304)
Event 63: PdsEventNew(muon_time=129, michel_time=217, muon_intensity=44.8411, michel_intensity=2.27007, posX=213.745, posY=317.713, posZ=291.409, energy=36.2723, lifetime=0.174443, pdg=-11, eventID=13329, trackID=5, date=20250828, reco_lifetime=1408, true_lifetime=174.44299999999998, diff_lifetime=1233.557)
Event 64: PdsEventNew(muon_time=128, michel_time=338, muon_intensity=48.1492, michel_intensity=1.90635, posX=-265.943, posY=348.656, posZ=258.671, energy=46.4543, lifetime=0.305684, pdg=11, eventID=13338, trackID=0, date=20250828, reco_lifetime=3360, true_lifetime=305.684, diff_lifetime=3054.316)



Event 65: PdsEventNew(muon_time=127, michel_time=308, muon_intensity=11.5524, michel_intensity=3.77921, posX=102.734, posY=372.871, posZ=349.401, energy=-1.0, lifetime=-1.0, pdg=0, eventID=13432, trackID=6, date=20250828, reco_lifetime=2896, true_lifetime=-1000.0, diff_lifetime=3896.0)


Event 66: PdsEventNew(muon_time=128, michel_time=343, muon_intensity=29.5222, michel_intensity=1.3781, posX=78.0882, posY=78.1537, posZ=67.0815, energy=-1.0, lifetime=-1.0, pdg=0, eventID=13528, trackID=4, date=20250828, reco_lifetime=3440, true_lifetime=-1000.0, diff_lifetime=4440.0)


Event 67: PdsEventNew(muon_time=126, michel_time=252, muon_intensity=15.7393, michel_intensity=1.27696, posX=-101.192, posY=262.273, posZ=426.135, energy=46.6547, lifetime=2.7742, pdg=-11, eventID=13540, trackID=11, date=20250828, reco_lifetime=2016, true_lifetime=2774.2, diff_lifetime=-758.1999999999998)




Event 68: PdsEventNew(muon_time=126, michel_time=200, muon_intensity=8.58563, michel_intensity=1.43726, posX=-111.974, posY=335.65, posZ=247.954, energy=38.21, lifetime=2.3339, pdg=-11, eventID=1357, trackID=7, date=20250828, reco_lifetime=1184, true_lifetime=2333.8999999999996, diff_lifetime=-1149.8999999999996)




Event 69: PdsEventNew(muon_time=126, michel_time=181, muon_intensity=20.5967, michel_intensity=2.54575, posX=66.2509, posY=209.503, posZ=109.523, energy=43.8725, lifetime=0.202644, pdg=11, eventID=13745, trackID=10, date=20250828, reco_lifetime=880, true_lifetime=202.64399999999998, diff_lifetime=677.356)

Event 70: PdsEventNew(muon_time=129, michel_time=227, muon_intensity=75.0758, michel_intensity=1.04303, posX=148.652, posY=253.543, posZ=396.193, energy=-1.0, lifetime=-1.0, pdg=0, eventID=13949, trackID=3, date=20250828, reco_lifetime=1568, true_lifetime=-1000.0, diff_lifetime=2568.0)
