
Processing group1.C...



Processing ROOT file:
michelt0_decon_run028891_0670_dataflow5_datawriter_0_20240824T081632.root

Event: 278 | Track IDs: 5 

Event: 286 | Track IDs: 

Event: 294 | Track IDs: 

Event: 302 | Track IDs: 4 8 37 

Event: 310 | Track IDs: 12 

Event: 318 | Track IDs: 

Event: 326 | Track IDs: 14 31 33 

Event: 334 | Track IDs: 2 4 

Event: 342 | Track IDs: 

Event: 350 | Track IDs: 24 

Event: 358 | Track IDs: 0 9 25 

Event: 366 | Track IDs: 1 11 

Event: 374 | Track IDs: 

Event: 382 | Track IDs: 3 

Event: 390 | Track IDs: 0 12 25 

Event: 398 | Track IDs: 0 

Event: 406 | Track IDs: 2 16 

Event: 414 | Track IDs: 

Event: 422 | Track IDs: 0 12 

Event: 430 | Track IDs: 1 

Event: 438 | Track IDs: 5 10 12 28 

Event: 446 | Track IDs: 0 2 13 

Event: 454 | Track IDs: 3 4 

Event: 462 | Track IDs: 0 1 13 

Event: 470 | Track IDs: 13 

Event: 478 | Track IDs: 3 

Event: 486 | Track IDs: 1 21 24 

Event: 494 | Track IDs: 23 



Processing ROOT file:
michelt0_decon_run028891_0002_dataflow6_datawriter_0_20240823T151820.root

Event: 502 | Track IDs: 18 

Event: 510 | Track IDs: 3 18 

Event: 518 | Track IDs: 1 4 11 

Event: 526 | Track IDs: 

Event: 534 | Track IDs: 2 10 

Event: 542 | Track IDs: 

Event: 550 | Track IDs: 1 2 

Event: 558 | Track IDs: 

Event: 566 | Track IDs: 20 

Event: 574 | Track IDs: 1 27 

Event: 582 | Track IDs: 25 

Event: 590 | Track IDs: 2 3 5 28 

Event: 598 | Track IDs: 6 11 33 

Event: 606 | Track IDs: 15 

Event: 614 | Track IDs: 15 

Event: 622 | Track IDs: 5 

Event: 630 | Track IDs: 

Event: 638 | Track IDs: 1 

Event: 646 | Track IDs: 7 8 10 

Event: 654 | Track IDs: 

Event: 662 | Track IDs: 1 29 

Event: 670 | Track IDs: 3 8 

Event: 678 | Track IDs: 2 5 14 19 21 

Event: 686 | Track IDs: 27 31 

Event: 694 | Track IDs: 0 

Event: 702 | Track IDs: 0 7 

Event: 710 | Track IDs: 4 7 17 19 

Event: 718 | Track IDs: 2 5 20 

Event: 726 | Track IDs: 1 2 4 9 

Event: 734 | Track IDs: 

Event: 742 | Track IDs: 4 18 30 



Processing ROOT file:
michelt0_decon_run028891_0011_dataflow1_datawriter_0_20240823T153149.root

Event: 2729 | Track IDs: 

Event: 2737 | Track IDs: 

Event: 2745 | Track IDs: 

Event: 2753 | Track IDs: 

Event: 2761 | Track IDs: 6 9 

Event: 2769 | Track IDs: 11 

Event: 2777 | Track IDs: 2 12 27 

Event: 2785 | Track IDs: 

Event: 2793 | Track IDs: 0 8 

Event: 2801 | Track IDs: 3 12 35 

Event: 2809 | Track IDs: 19 

Event: 2817 | Track IDs: 2 4 40 

Event: 2825 | Track IDs: 1 

Event: 2833 | Track IDs: 0 

Event: 2841 | Track IDs: 26 

Event: 2849 | Track IDs: 0 5 6 16 

Event: 2857 | Track IDs: 4 

Event: 2865 | Track IDs: 

Event: 2873 | Track IDs: 18 

Event: 2881 | Track IDs: 10 

Event: 2889 | Track IDs: 24 

Event: 2897 | Track IDs: 4 5 22 

Event: 2905 | Track IDs: 14 

Event: 2913 | Track IDs: 

Event: 2921 | Track IDs: 4 

Event: 2929 | Track IDs: 6 22 

Event: 2937 | Track IDs: 2 

Event: 2945 | Track IDs: 

Event: 2953 | Track IDs: 2 13 29 

Event: 2961 | Track IDs: 5 6 

Event: 2969 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0011_dataflow5_datawriter_0_20240823T153150.root

Event: 2733 | Track IDs: 3 4 

Event: 2741 | Track IDs: 

Event: 2749 | Track IDs: 1 

Event: 2757 | Track IDs: 6 

Event: 2765 | Track IDs: 

Event: 2773 | Track IDs: 23 

Event: 2781 | Track IDs: 2 20 

Event: 2789 | Track IDs: 

Event: 2797 | Track IDs: 3 10 16 

Event: 2805 | Track IDs: 13 

Event: 2813 | Track IDs: 20 

Event: 2821 | Track IDs: 7 

Event: 2829 | Track IDs: 4 21 34 

Event: 2837 | Track IDs: 0 2 27 

Event: 2845 | Track IDs: 

Event: 2853 | Track IDs: 

Event: 2861 | Track IDs: 

Event: 2869 | Track IDs: 

Event: 2877 | Track IDs: 0 

Event: 2885 | Track IDs: 17 22 26 

Event: 2893 | Track IDs: 7 

Event: 2901 | Track IDs: 10 

Event: 2909 | Track IDs: 7 9 

Event: 2917 | Track IDs: 0 20 

Event: 2925 | Track IDs: 

Event: 2933 | Track IDs: 3 4 

Event: 2941 | Track IDs: 

Event: 2949 | Track IDs: 2 6 8 

Event: 2957 | Track IDs: 2 

Event: 2965 | Track IDs: 23 25 29 

Event: 2973 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0003_dataflow4_datawriter_0_20240823T151948.root

Event: 748 | Track IDs: 

Event: 756 | Track IDs: 2 4 5 

Event: 764 | Track IDs: 

Event: 772 | Track IDs: 1 26 

Event: 780 | Track IDs: 9 31 

Event: 788 | Track IDs: 0 1 5 

Event: 796 | Track IDs: 11 

Event: 804 | Track IDs: 5 6 11 

Event: 812 | Track IDs: 1 8 

Event: 820 | Track IDs: 

Event: 828 | Track IDs: 

Event: 836 | Track IDs: 0 2 4 

Event: 844 | Track IDs: 3 

Event: 852 | Track IDs: 

Event: 860 | Track IDs: 3 18 

Event: 868 | Track IDs: 3 19 

Event: 876 | Track IDs: 7 31 

Event: 884 | Track IDs: 

Event: 892 | Track IDs: 

Event: 900 | Track IDs: 

Event: 908 | Track IDs: 1 5 

Event: 916 | Track IDs: 5 

Event: 924 | Track IDs: 7 

Event: 932 | Track IDs: 8 

Event: 940 | Track IDs: 6 21 

Event: 948 | Track IDs: 0 4 10 32 

Event: 956 | Track IDs: 0 1 23 

Event: 964 | Track IDs: 1 3 10 21 

Event: 972 | Track IDs: 

Event: 980 | Track IDs: 1 6 7 9 

Event: 988 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0012_dataflow1_datawriter_0_20240823T153321.root

Event: 2977 | Track IDs: 2 22 

Event: 2985 | Track IDs: 

Event: 2993 | Track IDs: 2 

Event: 3001 | Track IDs: 0 10 

Event: 3009 | Track IDs: 7 

Event: 3017 | Track IDs: 

Event: 3025 | Track IDs: 5 

Event: 3033 | Track IDs: 

Event: 3041 | Track IDs: 0 3 20 

Event: 3049 | Track IDs: 0 4 

Event: 3057 | Track IDs: 0 5 6 24 

Event: 3065 | Track IDs: 0 2 16 

Event: 3073 | Track IDs: 8 

Event: 3081 | Track IDs: 2 3 

Event: 3089 | Track IDs: 1 4 5 

Event: 3097 | Track IDs: 9 

Event: 3105 | Track IDs: 4 8 

Event: 3113 | Track IDs: 27 

Event: 3121 | Track IDs: 

Event: 3129 | Track IDs: 0 

Event: 3137 | Track IDs: 29 

Event: 3145 | Track IDs: 3 21 

Event: 3153 | Track IDs: 

Event: 3161 | Track IDs: 1 

Event: 3169 | Track IDs: 1 

Event: 3177 | Track IDs: 5 6 14 29 

Event: 3185 | Track IDs: 29 36 

Event: 3193 | Track IDs: 

Event: 3201 | Track IDs: 

