wvfFind_event136994_trackID3_opNum6_merged.root               Event=136994, Track=   3, Score=0.626
wvfFind_event104903_trackID12_opNum6.root                     Event=104903, Track=  12, Score=0.687
wvfFind_event130170_trackID3_opNum5_merged.root               Event=130170, Track=   3, Score=0.452
wvfFind_event175171_trackID15_opNum4.root                     Event=175171, Track=  15, Score=0.529
wvfFind_event38802_trackID4_opNum4_2.root                     Event= 38802, Track=   4, Score=0.612
wvfFind_event22907_trackID8_opNum5_merged.root                Event= 22907, Track=   8, Score=0.602
wvfFind_event127028_trackID17_opNum4.root                     Event=127028, Track=  17, Score=0.612
wvfFind_event146237_trackID10_opNum8.root                     Event=146237, Track=  10, Score=0.440
wvfFind_event137430_trackID1_opNum4.root                      Event=137430, Track=   1, Score=0.733
wvfFind_event194239_trackID1_opNum5.root                      Event=194239, Track=   1, Score=0.773
wvfFind_event50368_trackID26_opNum8.root                      Event= 50368, Track=  26, Score=0.759
wvfFind_event20867_trackID6_opNum8_merged.root                Event= 20867, Track=   6, Score=0.892
wvfFind_event23001_trackID6_opNum5.root                       Event= 23001, Track=   6, Score=0.473
wvfFind_event195426_trackID7_opNum9.root                      Event=195426, Track=   7, Score=0.842
wvfFind_event69305_trackID4_opNum4.root                       Event= 69305, Track=   4, Score=0.760
wvfFind_event63946_trackID26_opNum8_merged.root               Event= 63946, Track=  26, Score=0.515
wvfFind_event99064_trackID13_opNum9.root                      Event= 99064, Track=  13, Score=0.915
wvfFind_event19025_trackID25_opNum8.root                      Event= 19025, Track=  25, Score=0.719
wvfFind_event118789_trackID3_opNum6_merged.root               Event=118789, Track=   3, Score=0.562
wvfFind_event189090_trackID4_opNum5.root                      Event=189090, Track=   4, Score=0.887
wvfFind_event45622_trackID11_opNum5.root                      Event= 45622, Track=  11, Score=0.777
wvfFind_event205138_trackID8_opNum8_merged.root               Event=205138, Track=   8, Score=0.588
wvfFind_event59779_trackID9_opNum4.root                       Event= 59779, Track=   9, Score=0.585
wvfFind_event67996_trackID10_opNum5_2.root                    Event= 67996, Track=  10, Score=0.636
wvfFind_event141462_trackID30_opNum9_merged.root              Event=141462, Track=  30, Score=0.442
wvfFind_event182334_trackID11_opNum9.root                     Event=182334, Track=  11, Score=0.439
wvfFind_event110378_trackID11_opNum5_merged.root              Event=110378, Track=  11, Score=0.577
wvfFind_event175020_trackID7_opNum5.root                      Event=175020, Track=   7, Score=0.406
wvfFind_event67010_trackID8_opNum5.root                       Event= 67010, Track=   8, Score=0.608
wvfFind_event7037_trackID5_opNum9_2.root                      Event=  7037, Track=   5, Score=0.632
wvfFind_event187549_trackID6_opNum9.root                      Event=187549, Track=   6, Score=0.853
wvfFind_event163145_trackID6_opNum4.root                      Event=163145, Track=   6, Score=0.537
wvfFind_event142651_trackID0_opNum7.root                      Event=142651, Track=   0, Score=0.918
wvfFind_event177188_trackID2_opNum5.root                      Event=177188, Track=   2, Score=0.989
wvfFind_event180665_trackID2_opNum4.root                      Event=180665, Track=   2, Score=0.742
