Run Event TrackID VertexX VertexY VertexZ
28891 7201 8 126.409 438.231 240.603
28891 7345 10 54.745 590.304 283.421
28891 6859 7 67.2197 591.431 291.361
28891 6899 10 -69.345 551.194 63.7611
28891 6923 0 -113.402 601.745 451.266
28891 12670 2 159.55 492.523 341.478
28891 12726 7 118.798 555.455 205.048
28891 12830 27 11.4719 598.681 47.4184
28891 1043 7 40.8105 590.467 355.566
28891 1155 7 -77.2658 540.095 409.244
28891 1171 8 31.303 529.636 7.22895
28891 11928 12 -50.6819 307.948 297.581
28891 11960 13 -362.602 425.108 381.646
28891 12080 9 166.471 598.793 318.565
28891 12144 2 143.968 339.343 51.9287
28891 10406 11 206.929 602.172 233.135
28891 10406 15 -4.59425 591.508 193.624
28891 10550 19 -18.7306 588.025 287.19
28891 10574 11 -111.559 599.015 73.5291
28891 10638 18 -45.342 416.042 14.4189
28891 9487 6 149.66 602.61 70.8012
28891 9543 45 8.36417 385.661 295.348
28891 9551 3 188.922 604.143 133.159
28891 9591 2 350.065 480.189 429.577
28891 9607 17 -73.3807 285.204 123.468
28891 11038 17 -34.0563 568.336 245.681
28891 11102 0 132.762 591.275 230.233
28891 11158 19 -29.8957 485.597 398.339
28891 4736 9 -224.562 602.525 139.462
28891 4784 13 54.7501 411.688 194.39
28891 4848 3 27.6307 508.453 451.466
28891 3262 13 73.9104 598.877 227.921
28891 3302 12 -69.0117 572.619 330.295
28891 7472 2 82.9583 310.262 427.343
28891 7480 28 -8.60795 586.772 382.563
28891 7512 3 82.6541 595.813 195.114
28891 13903 8 39.9853 305.839 446.185
28891 13983 15 -50.5581 589.765 370.99
28891 14007 15 53.5842 525.125 421.469
28891 14015 16 106.224 594.587 302.792
28891 14055 4 45.4131 589.645 239.136
28891 4488 13 54.1349 593.298 176.783
28891 4568 5 117.236 597.28 338.404
28891 4576 34 13.5822 486.813 307.963
28891 4600 10 75.3364 536.101 457.152
28891 4672 4 172.229 600.126 281.749
28891 7366 5 58.9354 594.226 427.774
28891 1449 20 -10.4484 592.523 133.97
28891 61067 20 30.8515 590.489 428.917
28891 61155 2 -212.813 603.633 275.037
28891 61179 23 -27.2219 592.723 404.538
28891 245168 25 -13.5464 319.56 341.017
28891 245192 6 -113.804 529.879 4.73776
28891 201680 5 50.5083 370.003 448.847
28891 201808 1 258.505 514.939 212.095
28891 32497 6 176.142 385.812 458.331
28891 32505 18 31.4728 588.735 307.006
28891 32537 2 55.5529 596.714 78.0114
28891 32705 7 -49.152 589.727 331.665
28891 63605 9 77.2674 264.494 141.441
28891 63621 5 31.1945 587.986 232.47
28891 63709 20 73.3201 600.101 214.955
28891 257965 4 38.1719 590.036 360.204
28891 257981 2 -86.4551 594.714 354.476
28891 258149 0 294.761 609.489 287.328
28891 47638 2 187.75 594.345 461.034
28891 47654 14 98.587 595.019 324.716
28891 47790 7 114.461 459.537 176.543
28891 47846 2 154.062 402.319 115.624
28891 343455 1 30.5264 589.853 353.172
28891 126002 27 364.323 529.545 171.012
28891 126018 8 -31.0128 599.174 41.0054
28891 126050 6 27.2478 588.091 300.904
28891 126138 4 195.032 601.569 368.641
28891 166596 4 -166.883 600.174 313.285
28891 166604 11 10.6185 585.523 172.977
28891 61275 2 121.708 594.53 377.25
28891 61403 22 -5.24749 585.644 201.384
28891 61435 2 -312.516 603.263 62.1035
28891 61451 16 362.175 514.341 116.001
28891 258436 8 -78.9766 594.136 144.832
28891 258540 8 -109.989 311.386 450.455
28891 156758 3 -61.8841 499.402 450.78
28891 156758 5 34.0507 490.577 9.08566
28891 156790 18 -75.2117 591.301 321.632
28891 156798 4 88.9062 595.732 197.402
28891 156870 23 37.4153 503.631 390.7
28891 156974 4 184.087 544.447 464.022
28891 156982 1 314.105 542.299 421.951
28891 148306 4 315.199 335.753 461.535
28891 148386 17 -30.3538 260.012 73.0306
28891 200914 9 28.78 315.202 445.815
28891 200914 28 5.35085 292.589 311.685
28891 201002 6 114.427 599.034 127.633
28891 79863 0 57.9502 590.032 403.726
28891 79895 12 -42.9645 590.705 352.252
28891 79983 20 22.2975 494.387 359.317
28891 80015 7 45.689 482.272 449.06
28891 179713 13 52.1762 591.994 423.099
28891 15412 11 33.5756 588.865 307.833
28891 253738 14 57.4984 368.951 240.064
28891 253850 25 -28.509 283.642 320.122
28891 253914 5 173.111 427.164 458.949
28891 253930 2 344.803 488.589 337.916
28891 253938 26 58.3983 226.597 298.56
28891 321578 12 24.3994 589.477 330.955
