Run Event TrackID EndX EndY EndZ
28891 41082 9 -105.033 191.057 246.269
28891 41138 17 -35.1415 304.004 339.051
28891 233157 12 -103.759 251.065 63.1309
28891 233189 24 -42.7655 347.041 290.272
28891 233309 29 -5.63858 487.954 302.041
28891 138938 20 59.5576 135.265 368.405
28891 138954 6 243.232 344.489 141.842
28891 138970 4 -158.353 265.956 326.188
28891 37656 2 -332.094 319.097 410.521
28891 37664 9 -168.141 325.377 380.912
28891 64535 15 -33.0353 341.384 320.441
28891 64695 5 -70.6962 309.706 279.073
28891 311265 9 -32.3776 281.124 232.481
28891 311417 8 -167.98 166.024 276.493
28891 311489 13 -92.1936 413.592 394.58
28891 82855 0 -150.897 213.144 384.215
28891 82871 16 -37.1003 332.037 383.36
28891 83023 3 -228.355 73.2484 412.884
28891 242072 16 4.6864 56.9122 114.281
28891 242088 1 -86.1418 119.895 337.651
28891 242096 9 -107.564 184.121 142.017
28891 242160 5 -108.169 321.098 278.021
28891 242272 5 -113.023 56.3321 314.328
28891 149574 21 -62.3939 431.548 434.717
28891 149734 22 -21.694 424.656 251.279
28891 149774 13 -46.753 435.697 388.927
